ID,Delinquency_Status,Loan_Term,Borrower_Gender,Loan_Purpose,Home_Status,Age_Group,Credit_Score_Range,Income,Loan_Amount
131,0,36 months,Male,House,Rent,>25,300-500,52,5000
132,0,36 months,Male,Personal,Mortgage,>25,300-500,67,5000
133,1,36 months,Male,House,Rent,>25,300-500,42,25000
134,0,36 months,Female,House,Mortgage,20-25,300-500,81,20000
135,1,36 months,Male,Personal,Rent,20-25,300-500,107,10000
136,1,36 months,Male,House,Rent,20-25,300-500,56,10000
137,1,36 months,Male,House,Rent,>25,300-500,118,5000
138,0,36 months,Male,Car,Rent,>25,>500,63,25000
139,1,36 months,Male,House,Mortgage,20-25,>500,105,15000
140,0,36 months,Female,House,Mortgage,>25,300-500,110,15000
141,1,36 months,Female,Personal,Mortgage,20-25,300-500,54,10000
142,1,36 months,Male,Medical,Rent,>25,300-500,84,20000
143,0,36 months,Male,House,Rent,20-25,>500,118,10000
144,1,36 months,Male,Car,Own,20-25,>500,66,5000
145,0,36 months,Male,House,Mortgage,20-25,300-500,97,20000
146,1,36 months,Male,House,Rent,20-25,300-500,22,15000
147,1,36 months,Male,House,Rent,20-25,300-500,20,25000
148,1,36 months,Male,House,Rent,>25,300-500,24,25000
149,1,60 months,Female,House,Rent,>25,>500,109,5000
150,1,36 months,Female,House,Mortgage,>25,>500,33,10000
151,1,36 months,Male,Personal,Mortgage,>25,>500,46,5000
152,0,36 months,Male,Car,Mortgage,20-25,300-500,28,25000
153,1,36 months,Male,House,Rent,>25,300-500,98,15000
154,1,36 months,Female,House,Own,>25,>500,34,25000
155,0,36 months,Female,Car,Rent,20-25,>500,109,20000
156,0,36 months,Male,Car,Rent,>25,300-500,61,25000
157,1,36 months,Female,House,Rent,20-25,>500,96,25000
158,0,36 months,Female,Personal,Own,20-25,300-500,70,20000
159,1,36 months,Male,House,Mortgage,20-25,>500,82,10000
160,1,36 months,Female,House,Mortgage,20-25,>500,115,25000
161,1,36 months,Female,House,Rent,20-25,300-500,71,5000
162,1,36 months,Male,House,Rent,>25,300-500,115,25000
163,0,36 months,Male,House,Rent,>25,>500,23,5000
164,0,36 months,Male,House,Mortgage,>25,300-500,113,20000
165,1,36 months,Male,House,Mortgage,>25,>500,42,25000
166,1,36 months,Female,House,Rent,>25,300-500,34,20000
167,0,36 months,Male,Personal,Own,>25,300-500,62,20000
168,1,60 months,Male,Personal,Rent,20-25,>500,48,10000
169,0,36 months,Male,House,Mortgage,>25,>500,55,25000
170,0,36 months,Female,House,Mortgage,20-25,>500,32,5000
171,1,60 months,Female,House,Rent,>25,300-500,51,5000
172,0,36 months,Male,House,Own,20-25,300-500,90,25000
173,1,36 months,Male,House,Rent,>25,>500,78,10000
174,1,36 months,Female,Car,Rent,20-25,>500,105,10000
175,1,36 months,Male,Other,Rent,>25,300-500,47,10000
176,1,60 months,Female,Car,Mortgage,>25,300-500,85,5000
177,1,36 months,Male,House,Mortgage,20-25,300-500,61,20000
178,1,36 months,Female,House,Mortgage,20-25,>500,64,10000
179,1,36 months,Male,House,Mortgage,20-25,300-500,81,5000
180,1,36 months,Male,Car,Mortgage,>25,300-500,76,5000
181,1,36 months,Male,Medical,Rent,20-25,300-500,25,20000
182,1,36 months,Female,House,Rent,20-25,>500,47,25000
183,1,36 months,Female,Car,Rent,>25,300-500,47,25000
184,1,36 months,Female,Car,Rent,20-25,300-500,63,10000
185,1,36 months,Male,Wedding,Rent,20-25,>500,103,10000
186,0,36 months,Female,House,Mortgage,20-25,300-500,49,20000
187,1,36 months,Male,Medical,Rent,>25,>500,81,10000
188,0,36 months,Male,House,Mortgage,20-25,300-500,94,20000
189,0,36 months,Female,House,Mortgage,>25,300-500,111,5000
190,1,36 months,Female,Car,Rent,>25,>500,108,10000
191,1,36 months,Female,Other,Mortgage,>25,300-500,81,5000
192,0,36 months,Male,Car,Rent,20-25,300-500,116,15000
193,1,36 months,Male,House,Mortgage,>25,300-500,20,20000
194,1,36 months,Female,House,Mortgage,>25,>500,46,15000
195,0,36 months,Male,Personal,Rent,>25,300-500,81,10000
196,0,36 months,Male,House,Rent,>25,>500,96,5000
197,1,36 months,Male,Other,Rent,20-25,300-500,22,10000
198,0,36 months,Male,House,Rent,>25,300-500,89,15000
199,1,36 months,Male,Personal,Rent,>25,300-500,91,10000
200,0,36 months,Female,House,Rent,20-25,300-500,46,25000
201,0,36 months,Male,House,Own,20-25,>500,28,15000
202,1,36 months,Male,Other,Rent,20-25,>500,81,10000
203,0,36 months,Female,Personal,Rent,20-25,>500,56,5000
204,0,36 months,Male,House,Rent,20-25,>500,116,10000
205,1,60 months,Male,Car,Mortgage,>25,>500,70,5000
206,1,36 months,Female,House,Rent,>25,300-500,63,25000
207,1,36 months,Female,Other,Mortgage,20-25,300-500,43,10000
208,0,36 months,Male,House,Mortgage,>25,300-500,98,25000
209,1,36 months,Female,House,Rent,20-25,300-500,78,15000
210,1,36 months,Male,House,Rent,>25,300-500,51,5000
211,1,36 months,Male,Car,Own,20-25,>500,115,15000
212,0,36 months,Male,House,Own,20-25,>500,107,5000
213,0,36 months,Male,Wedding,Mortgage,20-25,>500,71,25000
214,1,36 months,Female,House,Own,>25,300-500,81,20000
215,1,36 months,Female,House,Own,20-25,>500,77,10000
216,1,36 months,Female,Car,Rent,20-25,300-500,71,25000
217,1,36 months,Male,Personal,Mortgage,20-25,>500,31,5000
218,0,36 months,Male,House,Own,20-25,300-500,58,5000
219,0,36 months,Male,House,Mortgage,>25,300-500,21,5000
220,0,36 months,Male,House,Rent,20-25,300-500,22,5000
221,1,36 months,Male,House,Mortgage,>25,>500,75,10000
222,0,36 months,Female,House,Mortgage,>25,>500,100,15000
223,1,36 months,Female,House,Mortgage,>25,300-500,78,20000
224,1,36 months,Female,Personal,Mortgage,20-25,>500,21,10000
225,0,36 months,Female,House,Rent,>25,300-500,21,5000
226,0,36 months,Female,House,Own,>25,>500,111,10000
227,1,36 months,Male,Car,Own,>25,>500,73,25000
228,0,36 months,Female,House,Rent,20-25,300-500,106,5000
229,1,36 months,Male,House,Mortgage,20-25,>500,115,20000
230,1,36 months,Female,Car,Rent,20-25,>500,116,5000
231,1,36 months,Female,House,Mortgage,20-25,300-500,20,20000
232,1,36 months,Male,House,Mortgage,20-25,>500,38,20000
233,1,36 months,Male,House,Mortgage,20-25,300-500,21,15000
234,0,36 months,Male,House,Mortgage,20-25,300-500,72,15000
235,1,36 months,Male,House,Mortgage,20-25,300-500,63,10000
236,1,36 months,Female,Car,Mortgage,20-25,>500,109,10000
237,1,36 months,Female,House,Mortgage,>25,>500,51,20000
238,0,36 months,Male,House,Mortgage,20-25,>500,89,5000
239,0,36 months,Male,House,Mortgage,20-25,300-500,51,25000
240,1,36 months,Male,House,Mortgage,20-25,300-500,87,25000
241,1,36 months,Female,other,Rent,>25,>500,74,5000
242,0,36 months,Female,House,Rent,20-25,>500,94,5000
243,0,36 months,Male,Other,Mortgage,20-25,>500,75,15000
244,1,36 months,Male,Personal,Mortgage,20-25,>500,36,25000
245,1,36 months,Male,House,Mortgage,>25,>500,57,20000
246,1,36 months,Female,Car,Mortgage,>25,>500,43,10000
247,1,36 months,Male,House,Own,20-25,>500,88,15000
248,1,36 months,Female,House,Rent,20-25,>500,117,25000
249,0,36 months,Female,House,Own,>25,300-500,89,5000
250,1,60 months,Male,Other,Mortgage,>25,300-500,105,25000
251,0,36 months,Female,House,Mortgage,20-25,>500,30,20000
252,1,36 months,Female,House,Rent,>25,300-500,35,15000
253,1,36 months,Male,Car,Own,>25,>500,116,5000
254,0,36 months,Male,Wedding,Mortgage,>25,300-500,92,20000
255,1,36 months,Female,Personal,Mortgage,20-25,300-500,78,10000
256,0,36 months,Female,House,Rent,20-25,>500,89,15000
257,1,36 months,Male,House,Rent,20-25,300-500,99,20000
258,0,36 months,Female,Personal,Mortgage,20-25,300-500,112,20000
259,0,36 months,Male,House,Rent,20-25,300-500,22,5000
260,1,36 months,Female,House,Mortgage,20-25,300-500,39,10000
261,1,36 months,Male,House,Mortgage,>25,300-500,78,20000
262,0,60 months,Female,House,Mortgage,>25,>500,55,15000
263,0,36 months,Female,Car,Mortgage,20-25,>500,38,20000
264,1,36 months,Male,House,Mortgage,20-25,300-500,109,25000
265,0,36 months,Male,Medical,Mortgage,20-25,300-500,86,15000
266,1,36 months,Female,Car,Mortgage,>25,>500,38,15000
267,0,36 months,Female,House,Rent,>25,>500,39,20000
268,1,36 months,Female,Car,Rent,20-25,300-500,115,5000
269,1,36 months,Female,Medical,Rent,>25,>500,90,15000
270,1,36 months,Female,Car,Rent,>25,>500,71,25000
271,1,36 months,Female,Car,Mortgage,20-25,>500,52,5000
272,1,36 months,Female,Personal,Mortgage,20-25,>500,59,5000
273,0,36 months,Female,Car,Rent,20-25,>500,58,5000
274,0,36 months,Male,Other,Mortgage,>25,>500,101,15000
275,0,36 months,Male,House,Mortgage,>25,300-500,20,5000
276,0,36 months,Female,House,Mortgage,>25,300-500,30,20000
277,1,36 months,Male,Other,Mortgage,>25,300-500,111,5000
278,1,36 months,Male,House,Rent,20-25,300-500,76,25000
279,1,36 months,Male,House,Mortgage,>25,>500,108,10000
280,0,36 months,Female,House,Mortgage,>25,300-500,69,25000
281,0,60 months,Male,House,Mortgage,>25,300-500,42,15000
282,1,60 months,Male,Car,Rent,20-25,300-500,50,5000
283,1,36 months,Male,House,Mortgage,>25,>500,113,5000
284,1,36 months,Male,Personal,Mortgage,20-25,300-500,61,20000
285,1,36 months,Male,House,Rent,>25,300-500,118,5000
286,1,36 months,Male,House,Mortgage,>25,>500,26,25000
287,1,36 months,Male,House,Rent,20-25,>500,35,15000
288,0,60 months,Male,House,Rent,20-25,300-500,109,10000
289,1,60 months,Male,House,Rent,>25,>500,79,5000
290,0,60 months,Male,Other,Mortgage,20-25,>500,21,10000
291,1,36 months,Female,Car,Rent,>25,300-500,20,5000
292,1,36 months,Male,Other,Rent,>25,>500,67,15000
293,1,36 months,Female,Car,Rent,20-25,300-500,31,25000
294,1,36 months,Female,Car,Own,20-25,>500,88,15000
295,1,36 months,Male,House,Mortgage,>25,>500,56,10000
296,1,60 months,Male,House,Mortgage,>25,>500,51,5000
297,1,36 months,Male,Wedding,Mortgage,20-25,>500,28,10000
298,1,36 months,Female,House,Mortgage,20-25,>500,118,25000
299,0,36 months,Female,House,Mortgage,20-25,>500,38,15000
300,1,36 months,Male,House,Mortgage,20-25,300-500,67,10000
301,1,36 months,Male,House,Mortgage,>25,300-500,99,10000
302,1,36 months,Female,House,Mortgage,>25,300-500,22,25000
303,1,36 months,Male,House,Own,20-25,300-500,39,5000
304,1,36 months,Female,Other,Rent,20-25,>500,43,10000
305,1,36 months,Female,House,Mortgage,20-25,300-500,73,25000
306,0,36 months,Female,House,Rent,>25,>500,52,5000
307,1,36 months,Female,Other,Rent,20-25,300-500,43,5000
308,1,36 months,Female,House,Rent,20-25,>500,94,15000
309,0,36 months,Female,House,Own,>25,300-500,91,25000
310,0,36 months,Female,other,Mortgage,20-25,300-500,55,5000
311,1,36 months,Male,House,Rent,>25,300-500,57,15000
312,1,36 months,Male,Wedding,Mortgage,>25,300-500,103,20000
313,1,36 months,Male,Personal,Rent,20-25,>500,118,25000
314,1,60 months,Female,Car,Mortgage,20-25,300-500,108,20000
315,0,36 months,Male,Wedding,Mortgage,>25,300-500,118,5000
316,0,36 months,Male,House,Rent,20-25,>500,44,25000
317,0,36 months,Male,Car,Own,>25,>500,112,15000
318,1,36 months,Male,House,Rent,20-25,>500,37,5000
319,0,36 months,Female,House,Mortgage,20-25,>500,101,25000
320,0,36 months,Female,Car,Mortgage,>25,>500,85,25000
321,1,60 months,Female,House,Mortgage,>25,300-500,73,20000
322,1,36 months,Female,House,Rent,>25,>500,54,5000
323,0,36 months,Male,Personal,Mortgage,20-25,300-500,99,15000
324,0,36 months,Male,House,Mortgage,20-25,300-500,80,15000
325,0,36 months,Male,House,Rent,20-25,>500,60,5000
326,0,36 months,Male,House,Mortgage,>25,300-500,119,5000
327,1,36 months,Female,Other,Mortgage,20-25,300-500,52,10000
328,0,36 months,Female,House,Own,>25,>500,87,20000
329,1,36 months,Female,Personal,Rent,20-25,300-500,52,5000
330,1,36 months,Female,House,Mortgage,>25,300-500,33,5000
331,1,60 months,Male,Car,Mortgage,>25,>500,40,10000
332,1,36 months,Female,House,Mortgage,>25,300-500,67,10000
333,1,60 months,Male,House,Rent,>25,300-500,39,25000
334,1,36 months,Male,Car,Mortgage,20-25,300-500,27,15000
335,1,36 months,Male,House,Rent,>25,300-500,26,20000
336,1,36 months,Male,House,Own,20-25,300-500,86,25000
337,0,36 months,Male,Car,Mortgage,>25,>500,36,5000
338,1,36 months,Male,House,Mortgage,>25,300-500,52,10000
339,1,36 months,Male,other,Rent,>25,300-500,67,15000
340,1,36 months,Female,House,Rent,20-25,300-500,95,25000
341,1,36 months,Male,House,Rent,>25,300-500,78,15000
342,1,36 months,Male,Other,Rent,20-25,>500,105,10000
343,0,36 months,Male,Personal,Mortgage,>25,300-500,41,25000
344,0,36 months,Female,House,Mortgage,20-25,300-500,49,25000
345,0,36 months,Female,House,Mortgage,>25,300-500,57,15000
346,0,36 months,Male,House,Own,>25,300-500,70,10000
347,0,36 months,Female,Other,Mortgage,>25,>500,73,5000
348,1,36 months,Female,House,Rent,>25,>500,27,25000
349,0,36 months,Female,House,Rent,>25,>500,46,5000
350,1,36 months,Female,House,Rent,>25,>500,46,10000
351,1,36 months,Male,House,Rent,20-25,>500,117,25000
352,1,36 months,Female,House,Own,20-25,300-500,40,25000
353,1,60 months,Male,House,Mortgage,>25,>500,49,5000
354,1,36 months,Female,Car,Mortgage,20-25,300-500,116,20000
355,0,36 months,Female,House,Mortgage,20-25,300-500,47,5000
356,0,36 months,Male,Personal,Rent,20-25,300-500,83,5000
357,0,36 months,Male,House,Rent,>25,>500,116,20000
358,1,36 months,Female,Personal,Rent,>25,300-500,88,10000
359,1,36 months,Female,House,Rent,>25,>500,80,10000
360,0,36 months,Male,House,Rent,>25,>500,67,25000
361,1,36 months,Male,Wedding,Rent,>25,>500,38,15000
362,1,36 months,Male,House,Rent,>25,>500,23,15000
363,0,36 months,Male,House,Rent,20-25,300-500,54,25000
364,1,60 months,Male,House,Rent,>25,300-500,83,15000
365,1,36 months,Female,Medical,Rent,>25,300-500,68,5000
366,1,36 months,Male,Other,Rent,>25,300-500,36,5000
367,0,36 months,Female,House,Mortgage,20-25,>500,63,20000
368,1,36 months,Male,House,Rent,>25,300-500,111,20000
369,1,36 months,Female,House,Rent,>25,300-500,49,25000
370,1,36 months,Male,Car,Rent,20-25,>500,112,25000
371,1,36 months,Male,House,Own,20-25,300-500,65,25000
372,1,36 months,Male,House,Rent,>25,300-500,25,5000
373,0,36 months,Male,Medical,Mortgage,>25,300-500,118,15000
374,1,36 months,Male,Car,Rent,>25,>500,56,25000
375,1,36 months,Female,House,Mortgage,>25,>500,43,25000
376,1,36 months,Male,Car,Mortgage,>25,>500,112,5000
377,1,36 months,Female,House,Rent,20-25,300-500,65,5000
378,1,36 months,Male,House,Rent,>25,300-500,72,5000
379,1,36 months,Male,House,Rent,20-25,>500,114,15000
380,0,36 months,Male,House,Mortgage,20-25,300-500,118,25000
381,1,60 months,Female,House,Rent,20-25,>500,79,10000
382,1,36 months,Female,House,Rent,20-25,300-500,116,10000
383,0,36 months,Male,House,Mortgage,20-25,>500,82,25000
384,1,36 months,Female,Wedding,Rent,>25,>500,104,25000
385,0,60 months,Female,House,Rent,20-25,300-500,51,25000
386,1,36 months,Male,House,Rent,>25,>500,106,25000
387,0,60 months,Male,Personal,Rent,20-25,300-500,52,15000
388,1,36 months,Male,House,Rent,20-25,300-500,86,10000
389,0,36 months,Male,Car,Mortgage,20-25,300-500,37,20000
390,1,36 months,Male,House,Rent,>25,300-500,44,10000
391,1,36 months,Female,House,Rent,>25,300-500,114,10000
392,1,36 months,Male,Car,Own,20-25,>500,73,5000
393,1,36 months,Male,Car,Mortgage,>25,300-500,77,25000
394,1,36 months,Male,Medical,Rent,20-25,>500,86,25000
395,1,36 months,Female,Other,Mortgage,>25,300-500,65,25000
396,1,36 months,Male,Car,Rent,>25,300-500,43,5000
397,1,36 months,Male,Car,Mortgage,>25,300-500,51,15000
398,1,36 months,Female,House,Mortgage,20-25,300-500,66,15000
399,1,36 months,Male,Other,Rent,>25,>500,105,20000
400,1,36 months,Male,House,Rent,20-25,>500,42,15000
401,1,36 months,Male,Personal,Mortgage,20-25,300-500,85,15000
402,0,36 months,Male,House,Mortgage,>25,300-500,46,25000
403,1,36 months,Male,House,Mortgage,20-25,300-500,21,10000
404,1,36 months,Male,House,Rent,>25,>500,109,15000
405,0,36 months,Male,Personal,Mortgage,20-25,300-500,36,15000
406,1,36 months,Male,House,Mortgage,>25,300-500,52,5000
407,1,60 months,Male,House,Rent,20-25,>500,28,20000
408,0,36 months,Female,House,Mortgage,>25,300-500,62,5000
409,1,36 months,Male,House,Mortgage,>25,300-500,67,25000
410,1,36 months,Male,House,Mortgage,20-25,300-500,58,10000
411,1,36 months,Female,House,Rent,20-25,300-500,112,20000
412,1,60 months,Male,Other,Rent,20-25,>500,61,5000
413,0,36 months,Female,House,Rent,>25,300-500,45,15000
414,1,36 months,Female,House,Mortgage,20-25,300-500,118,15000
415,0,60 months,Female,House,Own,>25,>500,69,20000
416,0,36 months,Female,Other,Rent,>25,300-500,44,15000
417,1,36 months,Male,House,Rent,>25,>500,43,5000
418,1,36 months,Male,House,Mortgage,>25,300-500,32,5000
419,0,36 months,Female,House,Own,>25,300-500,79,15000
420,0,36 months,Male,House,Mortgage,>25,300-500,26,15000
421,0,36 months,Female,Personal,Mortgage,>25,>500,76,25000
422,1,60 months,Female,Other,Rent,20-25,300-500,55,10000
423,1,36 months,Male,House,Mortgage,20-25,300-500,64,20000
424,0,60 months,Male,House,Mortgage,20-25,300-500,39,5000
425,0,36 months,Female,House,Rent,20-25,300-500,84,20000
426,1,60 months,Male,House,Rent,>25,300-500,27,25000
427,0,36 months,Female,Car,Own,>25,300-500,35,5000
428,0,36 months,Male,Car,Rent,20-25,300-500,33,25000
429,0,36 months,Male,House,Mortgage,>25,300-500,95,25000
430,1,36 months,Male,House,Mortgage,>25,300-500,106,15000
431,1,36 months,Male,Car,Rent,>25,>500,34,20000
432,1,36 months,Female,Car,Rent,>25,300-500,111,20000
433,0,60 months,Female,other,Mortgage,>25,300-500,117,15000
434,1,36 months,Male,House,Mortgage,20-25,300-500,85,20000
435,1,36 months,Female,House,Mortgage,>25,>500,51,15000
436,1,36 months,Female,Car,Mortgage,>25,300-500,106,5000
437,0,36 months,Male,Car,Mortgage,20-25,300-500,82,25000
438,0,36 months,Female,Car,Rent,>25,300-500,105,25000
439,0,36 months,Female,House,Mortgage,20-25,300-500,70,20000
440,1,60 months,Male,Wedding,Mortgage,>25,300-500,44,10000
441,0,36 months,Male,House,Rent,20-25,>500,77,25000
442,1,36 months,Female,Car,Mortgage,20-25,>500,82,15000
443,1,36 months,Female,House,Mortgage,>25,300-500,81,10000
444,1,36 months,Male,House,Mortgage,20-25,300-500,41,10000
445,1,36 months,Male,Wedding,Mortgage,20-25,300-500,77,25000
446,1,36 months,Male,Car,Mortgage,>25,300-500,77,25000
447,1,36 months,Female,House,Rent,>25,300-500,105,25000
448,1,60 months,Male,Personal,Rent,20-25,>500,68,15000
449,0,36 months,Female,House,Own,20-25,300-500,71,10000
450,1,36 months,Male,Car,Mortgage,20-25,>500,61,20000
451,1,36 months,Male,Car,Mortgage,20-25,300-500,89,15000
452,1,36 months,Male,House,Mortgage,>25,300-500,34,5000
453,1,36 months,Female,Personal,Rent,>25,300-500,73,25000
